F21H08.wav, neutral,neutral,angry,sad,happy 
M36N02.wav, sad,sad,neutral,angry,happy 
F07S29.wav, angry,angry,sad,happy,neutral 
F07A38.wav, sad,sad,neutral,happy,angry 
F05N48.wav, sad,sad,angry,neutral,happy 
F05N54.wav, angry,angry,neutral,sad,happy 
F20N11.wav, angry,angry,neutral,sad,happy 
F02N04.wav, sad,sad,neutral,angry,happy 
F05N56.wav, sad,sad,neutral,happy,angry 
M26A23.wav, sad,sad,neutral,angry,happy 
M51N20.wav, sad,sad,angry,neutral,happy 
F07S23.wav, sad,sad,angry,happy,neutral 
M42A04.wav, sad,sad,happy,angry,neutral 
F24H12.wav, sad,sad,neutral,happy,angry 
F24A70.wav, happy,happy,angry,neutral,sad 
M10A02.wav, sad,sad,neutral,happy,angry 
F07S12.wav, happy,happy,sad,angry,neutral 
F24A13.wav, sad,sad,angry,neutral,happy 
M25N16.wav, sad,sad,neutral,angry,happy 
F06H04.wav, sad,sad,neutral,angry,happy 
M30A04.wav, sad,sad,happy,neutral,angry 
M44H06.wav, sad,sad,angry,neutral,happy 
F24S12.wav, sad,sad,neutral,happy,angry 
M40S01.wav, sad,sad,angry,happy,neutral 
M28S05.wav, sad,sad,neutral,angry,happy 
F10A18.wav, happy,happy,sad,neutral,angry 
F21A44.wav, sad,sad,happy,neutral,angry 
M04N70.wav, sad,sad,angry,neutral,happy 
F05N44.wav, sad,sad,angry,neutral,happy 
M03A31.wav, sad,sad,neutral,happy,angry 
F05N12.wav, sad,sad,angry,neutral,happy 
F29N02.wav, happy,happy,sad,angry,neutral 
F12A08.wav, sad,sad,angry,neutral,happy 
F07N07.wav, happy,happy,angry,neutral,sad 
M27N47.wav, sad,sad,neutral,angry,happy 
M26A08.wav, angry,angry,happy,neutral,sad 
F21N12.wav, sad,sad,neutral,angry,happy 
F12N08.wav, sad,sad,happy,angry,neutral 
M03A30.wav, sad,sad,neutral,angry,happy 
F21S11.wav, sad,sad,angry,happy,neutral 
M03A16.wav, happy,happy,neutral,sad,angry 
M22N31.wav, sad,sad,happy,neutral,angry 
M25A14.wav, happy,happy,angry,neutral,sad 
M25A30.wav, sad,sad,angry,neutral,happy 
M15A05.wav, happy,happy,angry,neutral,sad 
M03A15.wav, sad,sad,happy,neutral,angry 
M36N01.wav, sad,sad,neutral,angry,happy 
F12A01.wav, sad,sad,neutral,happy,angry 
M12N61.wav, neutral,neutral,angry,sad,happy 
M40N25.wav, angry,angry,neutral,sad,happy 
F21N14.wav, sad,sad,neutral,angry,happy 
M25N11.wav, neutral,neutral,sad,angry,happy 
M25A19.wav, sad,sad,happy,neutral,angry 
M53A14.wav, sad,sad,neutral,angry,happy 
M40N37.wav, neutral,neutral,sad,angry,happy 
F03S11.wav, sad,sad,happy,angry,neutral 
M53A19.wav, sad,sad,neutral,angry,happy 
M12N47.wav, sad,sad,angry,neutral,happy 
F21A32.wav, sad,sad,angry,neutral,happy 
M02A17.wav, sad,sad,neutral,happy,angry 
M51S01.wav, angry,angry,sad,neutral,happy 
M40N09.wav, sad,sad,angry,neutral,happy 
F21S35.wav, sad,sad,happy,neutral,angry 
F20H03.wav, happy,happy,neutral,angry,sad 
F11S03.wav, happy,happy,sad,neutral,angry 
M12A14.wav, sad,sad,happy,angry,neutral 
M28S11.wav, sad,sad,angry,neutral,happy 
F13A09.wav, sad,sad,neutral,happy,angry 
M25A20.wav, sad,sad,happy,neutral,angry 
M28A30.wav, sad,sad,happy,angry,neutral 
M30A01.wav, happy,happy,angry,neutral,sad 
F14H01.wav, sad,sad,neutral,angry,happy 
F03S01.wav, happy,happy,neutral,angry,sad 
M25A47.wav, sad,sad,happy,neutral,angry 
F06S07.wav, neutral,neutral,angry,sad,happy 
M37N04.wav, happy,happy,neutral,angry,sad 
F05N53.wav, angry,angry,neutral,sad,happy 
F07A34.wav, sad,sad,angry,neutral,happy 
M07N01.wav, happy,happy,angry,neutral,sad 
M49N03.wav, angry,angry,happy,neutral,sad 
M29A10.wav, neutral,neutral,happy,sad,angry 
M16H05.wav, happy,happy,angry,sad,neutral 
M12A01.wav, happy,happy,angry,sad,neutral 
F04A14.wav, sad,sad,angry,neutral,happy 
M53A10.wav, sad,sad,angry,neutral,happy 
M12A64.wav, happy,happy,neutral,sad,angry 
F07N05.wav, neutral,neutral,angry,happy,sad 
F21A46.wav, neutral,neutral,sad,angry,happy 
F09A06.wav, sad,sad,happy,neutral,angry 
M04N03.wav, sad,sad,angry,neutral,happy 
M48S02.wav, sad,sad,neutral,angry,happy 
M23H01.wav, neutral,neutral,angry,sad,happy 
M26A34.wav, happy,happy,sad,neutral,angry 
M28A46.wav, happy,happy,neutral,angry,sad 
F23N07.wav, sad,sad,happy,neutral,angry 
F11S02.wav, sad,sad,angry,happy,neutral 
M16A26.wav, happy,happy,sad,neutral,angry 
M05A05.wav, angry,angry,happy,neutral,sad 
M16A25.wav, happy,happy,angry,neutral,sad 
M15A04.wav, sad,sad,happy,neutral,angry 
M50N02.wav, neutral,neutral,angry,happy,sad 
F09A13.wav, sad,sad,neutral,angry,happy 
F24H16.wav, happy,happy,sad,angry,neutral 
M40N16.wav, sad,sad,angry,neutral,happy 
M27N40.wav, sad,sad,angry,happy,neutral 
M14N03.wav, sad,sad,neutral,angry,happy 
M41H01.wav, sad,sad,angry,neutral,happy 
M18N01.wav, sad,sad,angry,neutral,happy 
M21H02.wav, happy,happy,neutral,angry,sad 
M13N01.wav, sad,sad,neutral,angry,happy 
M31N05.wav, neutral,neutral,angry,happy,sad 
F24S14.wav, happy,happy,sad,neutral,angry 
M50A07.wav, sad,sad,angry,neutral,happy 
F19N15.wav, sad,sad,angry,neutral,happy 
M03A11.wav, sad,sad,neutral,happy,angry 
M25A61.wav, sad,sad,neutral,happy,angry 
M03A47.wav, happy,happy,neutral,angry,sad 
F21H06.wav, happy,happy,angry,neutral,sad 
F10A57.wav, sad,sad,neutral,happy,angry 
M12A37.wav, sad,sad,angry,neutral,happy 
M12A18.wav, sad,sad,angry,neutral,happy 
M37S01.wav, happy,happy,sad,angry,neutral 
F19N16.wav, sad,sad,neutral,angry,happy 
F26S03.wav, neutral,neutral,angry,sad,happy 
M25S13.wav, angry,angry,neutral,happy,sad 
M25A62.wav, sad,sad,happy,angry,neutral 
M09N01.wav, neutral,neutral,happy,angry,sad 
F24A67.wav, sad,sad,angry,happy,neutral 
M30A06.wav, sad,sad,angry,happy,neutral 
M15A12.wav, happy,happy,sad,neutral,angry 
F05N50.wav, sad,sad,angry,neutral,happy 
F06A01.wav, neutral,neutral,sad,angry,happy 
M25N19.wav, neutral,neutral,sad,happy,angry 
M55N02.wav, sad,sad,angry,neutral,happy 
F11N01.wav, sad,sad,neutral,angry,happy 
M21N11.wav, sad,sad,angry,happy,neutral 
F23A16.wav, sad,sad,happy,neutral,angry 
M56N02.wav, sad,sad,neutral,angry,happy 
M05A11.wav, happy,happy,angry,neutral,sad 
M47A14.wav, sad,sad,happy,neutral,angry 
F07A10.wav, happy,happy,sad,angry,neutral 
M04A11.wav, happy,happy,sad,neutral,angry 
F05N23.wav, sad,sad,angry,neutral,happy 
F30S02.wav, sad,sad,angry,neutral,happy 
M47N15.wav, sad,sad,happy,angry,neutral 
M28A47.wav, happy,happy,sad,angry,neutral 
M25N04.wav, sad,sad,happy,neutral,angry 
F20N02.wav, happy,happy,angry,neutral,sad 
M02A20.wav, sad,sad,happy,neutral,angry 
M04N43.wav, sad,sad,angry,neutral,happy 
M28N09.wav, happy,happy,angry,neutral,sad 
F21S36.wav, sad,sad,neutral,happy,angry 
M04N61.wav, neutral,neutral,happy,angry,sad 
F20H05.wav, sad,sad,angry,neutral,happy 
M26A39.wav, sad,sad,happy,neutral,angry 
F28A11.wav, sad,sad,angry,neutral,happy 
F17S01.wav, sad,sad,angry,happy,neutral 
M03S17.wav, happy,happy,sad,angry,neutral 
M12N50.wav, sad,sad,angry,happy,neutral 
F21S21.wav, sad,sad,angry,neutral,happy 
M18N02.wav, angry,angry,happy,neutral,sad 
M40N50.wav, neutral,neutral,angry,sad,happy 
M09A19.wav, sad,sad,neutral,happy,angry 
F07A57.wav, sad,sad,neutral,angry,happy 
F26S02.wav, sad,sad,happy,neutral,angry 
F30S01.wav, sad,sad,happy,neutral,angry 
M19S03.wav, angry,angry,neutral,happy,sad 
F10A28.wav, happy,happy,angry,sad,neutral 
M22N27.wav, sad,sad,neutral,happy,angry 
M04S04.wav, neutral,neutral,sad,angry,happy 
F20N10.wav, neutral,neutral,angry,happy,sad 
M53A20.wav, neutral,neutral,happy,angry,sad 
F07H06.wav, sad,sad,neutral,angry,happy 
M25S06.wav, sad,sad,neutral,angry,happy 
M53A06.wav, happy,happy,sad,neutral,angry 
M08H01.wav, sad,sad,neutral,angry,happy 
M15A13.wav, sad,sad,neutral,happy,angry 
F19N33.wav, sad,sad,angry,neutral,happy 
M12N39.wav, neutral,neutral,sad,angry,happy 
M48N06.wav, angry,angry,happy,sad,neutral 
M27N25.wav, neutral,neutral,sad,angry,happy 
M12A17.wav, sad,sad,happy,neutral,angry 
M25A69.wav, neutral,neutral,sad,angry,happy 
F23N03.wav, happy,happy,neutral,angry,sad 
M40A04.wav, sad,sad,happy,neutral,angry 
F05N45.wav, sad,sad,neutral,angry,happy 
M26S05.wav, happy,happy,angry,neutral,sad 
F22S13.wav, sad,sad,angry,happy,neutral 
M12A29.wav, sad,sad,happy,neutral,angry 
M30N08.wav, neutral,neutral,sad,angry,happy 
M26A32.wav, sad,sad,happy,neutral,angry 
F04A11.wav, sad,sad,neutral,angry,happy 
F01S07.wav, happy,happy,angry,sad,neutral 
M04N40.wav, sad,sad,angry,neutral,happy 
M12N40.wav, happy,happy,neutral,sad,angry 
M27N18.wav, happy,happy,sad,neutral,angry 
M03S05.wav, sad,sad,angry,neutral,happy 
F24A38.wav, happy,happy,sad,neutral,angry 
F02S02.wav, sad,sad,angry,neutral,happy 
M25A18.wav, sad,sad,happy,neutral,angry 
M12N58.wav, sad,sad,angry,neutral,happy 
M03A05.wav, sad,sad,happy,neutral,angry 
M04N42.wav, sad,sad,neutral,angry,happy 
M15N01.wav, happy,happy,neutral,angry,sad 
M42A12.wav, happy,happy,sad,neutral,angry 
M17N07.wav, sad,sad,neutral,angry,happy 
M44N13.wav, sad,sad,neutral,happy,angry 
M30N04.wav, happy,happy,angry,sad,neutral 
M26A38.wav, neutral,neutral,angry,sad,happy 
M50A05.wav, sad,sad,neutral,happy,angry 
M03A37.wav, happy,happy,angry,neutral,sad 
M16A32.wav, happy,happy,sad,neutral,angry 
F10A05.wav, sad,sad,neutral,happy,angry 
F07A63.wav, happy,happy,angry,neutral,sad 
M28S24.wav, sad,sad,neutral,happy,angry 
M16A11.wav, happy,happy,angry,neutral,sad 
M30A03.wav, sad,sad,neutral,happy,angry 
M53A23.wav, sad,sad,angry,neutral,happy 
M07N06.wav, happy,happy,angry,neutral,sad 
M30N05.wav, happy,happy,angry,sad,neutral 
F21A52.wav, neutral,neutral,angry,sad,happy 
M03A45.wav, neutral,neutral,sad,angry,happy 
F21A25.wav, sad,sad,neutral,angry,happy 
F24A66.wav, happy,happy,angry,neutral,sad 
M22N10.wav, happy,happy,angry,sad,neutral 
F14N05.wav, happy,happy,neutral,sad,angry 
F07A41.wav, sad,sad,neutral,happy,angry 
M12N28.wav, neutral,neutral,sad,happy,angry 
M38N13.wav, sad,sad,neutral,happy,angry 
F10A47.wav, happy,happy,sad,neutral,angry 
F20N06.wav, sad,sad,angry,neutral,happy 
M12S13.wav, happy,happy,angry,neutral,sad 
M26S04.wav, sad,sad,angry,neutral,happy 
M27N52.wav, sad,sad,neutral,angry,happy 
M16A12.wav, sad,sad,happy,neutral,angry 
M25A66.wav, sad,sad,neutral,happy,angry 
F28N04.wav, neutral,neutral,sad,angry,happy 
M47N01.wav, sad,sad,neutral,angry,happy 
M34N02.wav, happy,happy,sad,angry,neutral 
F23A02.wav, happy,happy,angry,neutral,sad 
F06H08.wav, neutral,neutral,sad,angry,happy 
M12N16.wav, sad,sad,neutral,happy,angry 
M40N07.wav, sad,sad,neutral,angry,happy 
M12N66.wav, sad,sad,angry,neutral,happy 
F03A04.wav, sad,sad,happy,neutral,angry 
F07S05.wav, sad,sad,angry,neutral,happy 
F01S01.wav, neutral,neutral,sad,angry,happy 
M47N11.wav, sad,sad,neutral,angry,happy 
M12A12.wav, sad,sad,neutral,happy,angry 
M46N04.wav, happy,happy,sad,neutral,angry 
F03A08.wav, sad,sad,neutral,angry,happy 
F28A20.wav, sad,sad,angry,neutral,happy 
F23N09.wav, sad,sad,happy,neutral,angry 
F07S14.wav, sad,sad,neutral,angry,happy 
F30A03.wav, sad,sad,happy,neutral,angry 
M07N08.wav, angry,angry,sad,neutral,happy 
F16S03.wav, sad,sad,happy,neutral,angry 
M27N03.wav, neutral,neutral,sad,angry,happy 
F21N22.wav, sad,sad,happy,angry,neutral 
M41H07.wav, sad,sad,neutral,angry,happy 
F23A12.wav, happy,happy,angry,sad,neutral 
F24H14.wav, happy,happy,neutral,angry,sad 
F07N02.wav, sad,sad,neutral,happy,angry 
F24A05.wav, sad,sad,angry,neutral,happy 
F21S15.wav, sad,sad,happy,angry,neutral 
M28A15.wav, happy,happy,angry,neutral,sad 
F11N08.wav, neutral,neutral,sad,angry,happy 
F10H01.wav, neutral,neutral,happy,angry,sad 
M28S15.wav, sad,sad,angry,neutral,happy 
M47S01.wav, sad,sad,angry,neutral,happy 
F15A05.wav, happy,happy,sad,angry,neutral 
M26A22.wav, happy,happy,neutral,angry,sad 
F25A04.wav, sad,sad,neutral,happy,angry 
M27N27.wav, sad,sad,neutral,angry,happy 
M44N19.wav, angry,angry,neutral,sad,happy 
F22S14.wav, sad,sad,happy,neutral,angry 
F21N24.wav, angry,angry,neutral,sad,happy 
F01A03.wav, sad,sad,angry,neutral,happy 
M53N14.wav, happy,happy,sad,neutral,angry 
M22N19.wav, angry,angry,happy,neutral,sad 
M04N48.wav, sad,sad,angry,neutral,happy 
F07N11.wav, neutral,neutral,angry,sad,happy 
M04N51.wav, sad,sad,angry,neutral,happy 
F20N08.wav, angry,angry,sad,neutral,happy 
M29A19.wav, sad,sad,neutral,angry,happy 
M28N13.wav, sad,sad,neutral,angry,happy 
M24A04.wav, sad,sad,happy,neutral,angry 
M09A11.wav, neutral,neutral,sad,happy,angry 
M06N06.wav, sad,sad,neutral,happy,angry 
F23H04.wav, angry,angry,happy,sad,neutral 
M26A18.wav, happy,happy,neutral,angry,sad 
M18N12.wav, angry,angry,sad,neutral,happy 
M03A13.wav, happy,happy,sad,neutral,angry 
M40N28.wav, sad,sad,neutral,angry,happy 
M25S01.wav, sad,sad,angry,happy,neutral 
F10N01.wav, happy,happy,neutral,sad,angry 
F03N01.wav, happy,happy,angry,neutral,sad 
M40N29.wav, sad,sad,angry,neutral,happy 
M05N17.wav, sad,sad,angry,neutral,happy 
M27N05.wav, happy,happy,neutral,angry,sad 
M12S11.wav, neutral,neutral,angry,sad,happy 
M12A30.wav, sad,sad,neutral,angry,happy 
M34A01.wav, happy,happy,angry,neutral,sad 
F01A02.wav, sad,sad,happy,neutral,angry 
M28A40.wav, happy,happy,sad,angry,neutral 
M22N29.wav, sad,sad,neutral,angry,happy 
F31A10.wav, happy,happy,neutral,angry,sad 
F07A06.wav, happy,happy,neutral,sad,angry 
M05A06.wav, happy,happy,sad,angry,neutral 
M04N16.wav, sad,sad,neutral,happy,angry 
M03S07.wav, sad,sad,angry,happy,neutral 
F05N33.wav, angry,angry,neutral,sad,happy 
M38N01.wav, sad,sad,neutral,angry,happy 
F24N04.wav, sad,sad,neutral,happy,angry 
M16A01.wav, sad,sad,angry,neutral,happy 
M04N36.wav, angry,angry,neutral,sad,happy 
M04N32.wav, sad,sad,neutral,angry,happy 
F25N03.wav, neutral,neutral,happy,angry,sad 
F22S01.wav, happy,happy,angry,sad,neutral 
M44N03.wav, sad,sad,neutral,angry,happy 
M44N24.wav, happy,happy,angry,neutral,sad 
M09A18.wav, happy,happy,sad,neutral,angry 
M11H03.wav, happy,happy,sad,neutral,angry 
M17N06.wav, neutral,neutral,angry,sad,happy 
M12N15.wav, happy,happy,sad,angry,neutral 
F24A59.wav, sad,sad,angry,neutral,happy 
F03S18.wav, happy,happy,angry,sad,neutral 
F06S05.wav, sad,sad,angry,neutral,happy 
M34A04.wav, angry,angry,happy,sad,neutral 
M28N23.wav, sad,sad,neutral,angry,happy 
M12N73.wav, neutral,neutral,happy,sad,angry 
M27N59.wav, sad,sad,neutral,angry,happy 
M47A03.wav, sad,sad,angry,neutral,happy 
M53N09.wav, sad,sad,angry,happy,neutral 
F19N09.wav, sad,sad,angry,neutral,happy 
F03S15.wav, neutral,neutral,happy,angry,sad 
M22N20.wav, sad,sad,neutral,angry,happy 
F15N01.wav, sad,sad,happy,neutral,angry 
F24A57.wav, sad,sad,angry,neutral,happy 
M28S13.wav, sad,sad,angry,happy,neutral 
M44H02.wav, sad,sad,neutral,angry,happy 
F19N19.wav, neutral,neutral,angry,sad,happy 
M24H01.wav, sad,sad,happy,neutral,angry 
M28A39.wav, happy,happy,angry,neutral,sad 
F31S01.wav, happy,happy,angry,neutral,sad 
F07A35.wav, sad,sad,neutral,happy,angry 
M46N06.wav, sad,sad,angry,neutral,happy 
F23A19.wav, sad,sad,angry,neutral,happy 
M36S03.wav, sad,sad,neutral,angry,happy 
F02S15.wav, sad,sad,neutral,angry,happy 
F24A11.wav, neutral,neutral,sad,angry,happy 
F13A20.wav, sad,sad,neutral,angry,happy 
F24H20.wav, sad,sad,neutral,angry,happy 
F10A51.wav, sad,sad,angry,happy,neutral 
F24H05.wav, sad,sad,neutral,happy,angry 
M12A33.wav, sad,sad,happy,neutral,angry 
F21S03.wav, neutral,neutral,happy,sad,angry 
M04N44.wav, happy,happy,sad,neutral,angry 
M11H01.wav, sad,sad,neutral,angry,happy 
M23A01.wav, happy,happy,neutral,angry,sad 
M04N24.wav, sad,sad,angry,neutral,happy 
M12N35.wav, sad,sad,angry,neutral,happy 
M12A03.wav, sad,sad,happy,neutral,angry 
M20N01.wav, happy,happy,sad,neutral,angry 
F29N03.wav, sad,sad,angry,happy,neutral 
F10A59.wav, sad,sad,neutral,angry,happy 
F21A19.wav, sad,sad,angry,neutral,happy 
M20N04.wav, happy,happy,sad,angry,neutral 
F24A03.wav, sad,sad,angry,neutral,happy 
F01N04.wav, happy,happy,angry,neutral,sad 
F13N01.wav, sad,sad,neutral,angry,happy 
F07A25.wav, sad,sad,neutral,angry,happy 
M29A14.wav, sad,sad,neutral,angry,happy 
F23H06.wav, sad,sad,angry,neutral,happy 
M46N07.wav, sad,sad,neutral,angry,happy 
M47A18.wav, sad,sad,neutral,happy,angry 
M51N10.wav, sad,sad,neutral,angry,happy 
M12A63.wav, sad,sad,neutral,happy,angry 
F05N10.wav, sad,sad,neutral,angry,happy 
F13A21.wav, sad,sad,angry,neutral,happy 
F12A03.wav, happy,happy,angry,neutral,sad 
M12A69.wav, neutral,neutral,sad,angry,happy 
F28N02.wav, sad,sad,neutral,angry,happy 
M28A29.wav, happy,happy,neutral,sad,angry 
M25A32.wav, sad,sad,happy,neutral,angry 
M27N15.wav, sad,sad,neutral,angry,happy 
M44H09.wav, sad,sad,neutral,angry,happy 
F19N12.wav, neutral,neutral,angry,happy,sad 
F21A02.wav, sad,sad,neutral,happy,angry 
M28A25.wav, sad,sad,neutral,happy,angry 
F07S18.wav, sad,sad,neutral,angry,happy 
M27N07.wav, neutral,neutral,happy,angry,sad 
M06S04.wav, sad,sad,angry,neutral,happy 
M22A02.wav, angry,angry,happy,sad,neutral 
M56N04.wav, happy,happy,neutral,sad,angry 
F22S05.wav, sad,sad,angry,happy,neutral 
F24N11.wav, neutral,neutral,angry,sad,happy 
M04N28.wav, sad,sad,neutral,angry,happy 
F21S39.wav, sad,sad,neutral,happy,angry 
F19S04.wav, angry,angry,neutral,happy,sad 
F21H10.wav, happy,happy,angry,neutral,sad 
F01S23.wav, happy,happy,angry,sad,neutral 
M22N06.wav, happy,happy,sad,angry,neutral 
M25A22.wav, sad,sad,angry,neutral,happy 
F01S06.wav, sad,sad,neutral,angry,happy 
M40N44.wav, sad,sad,angry,neutral,happy 
F21A36.wav, sad,sad,angry,neutral,happy 
M50A11.wav, happy,happy,angry,sad,neutral 
F19N18.wav, sad,sad,neutral,angry,happy 
M04A10.wav, sad,sad,angry,neutral,happy 
M05S01.wav, sad,sad,happy,neutral,angry 
M51N13.wav, sad,sad,happy,angry,neutral 
M50A10.wav, sad,sad,angry,happy,neutral 
M12N56.wav, sad,sad,neutral,angry,happy 
M04A02.wav, sad,sad,happy,angry,neutral 
M25S11.wav, neutral,neutral,angry,sad,happy 
M21A03.wav, neutral,neutral,sad,angry,happy 
F30S07.wav, sad,sad,angry,neutral,happy 
M25N10.wav, sad,sad,neutral,angry,happy 
M51N14.wav, sad,sad,neutral,angry,happy 
M44N08.wav, sad,sad,angry,neutral,happy 
M27N35.wav, angry,angry,sad,neutral,happy 
F11N06.wav, neutral,neutral,angry,sad,happy 
F30S10.wav, sad,sad,angry,neutral,happy 
M13H01.wav, neutral,neutral,happy,angry,sad 
F24A45.wav, sad,sad,angry,neutral,happy 
M30N03.wav, happy,happy,sad,angry,neutral 
F06S03.wav, angry,angry,neutral,happy,sad 
M28N01.wav, happy,happy,angry,neutral,sad 
M03A29.wav, sad,sad,neutral,angry,happy 
F15N02.wav, sad,sad,angry,neutral,happy 
M26A04.wav, happy,happy,angry,neutral,sad 
M46A05.wav, sad,sad,neutral,angry,happy 
F02A01.wav, happy,happy,angry,neutral,sad 
F07A46.wav, sad,sad,angry,neutral,happy 
F21A06.wav, sad,sad,angry,neutral,happy 
M02N01.wav, sad,sad,neutral,happy,angry 
M38N09.wav, neutral,neutral,sad,angry,happy 
M37N13.wav, sad,sad,happy,neutral,angry 
M34S02.wav, angry,angry,sad,happy,neutral 
F21S33.wav, neutral,neutral,angry,sad,happy 
M25A39.wav, sad,sad,neutral,happy,angry 
M25A02.wav, happy,happy,angry,sad,neutral 
M22S01.wav, sad,sad,angry,neutral,happy 
M04S02.wav, sad,sad,angry,neutral,happy 
M28S12.wav, neutral,neutral,angry,happy,sad 
F07A58.wav, happy,happy,angry,neutral,sad 
F21N08.wav, angry,angry,happy,neutral,sad 
F12A06.wav, sad,sad,happy,neutral,angry 
M12N41.wav, happy,happy,angry,neutral,sad 
M38N05.wav, sad,sad,neutral,happy,angry 
F03S12.wav, sad,sad,happy,neutral,angry 
M16A18.wav, happy,happy,angry,sad,neutral 
M03A46.wav, neutral,neutral,sad,happy,angry 
F21S28.wav, sad,sad,angry,happy,neutral 
F23S01.wav, sad,sad,neutral,angry,happy 
F07S34.wav, happy,happy,angry,neutral,sad 
M02N14.wav, sad,sad,happy,neutral,angry 
F06A02.wav, sad,sad,angry,neutral,happy 
M08N04.wav, neutral,neutral,angry,sad,happy 
M19S01.wav, happy,happy,angry,neutral,sad 
M28S22.wav, sad,sad,angry,neutral,happy 
M26A15.wav, sad,sad,neutral,angry,happy 
F14N04.wav, happy,happy,angry,sad,neutral 
M06S05.wav, sad,sad,angry,neutral,happy 
M02A07.wav, neutral,neutral,angry,happy,sad 
M51N11.wav, neutral,neutral,sad,angry,happy 
M53A09.wav, sad,sad,angry,neutral,happy 
F01S11.wav, happy,happy,angry,neutral,sad 
M08N02.wav, angry,angry,happy,neutral,sad 
F07A43.wav, sad,sad,neutral,happy,angry 
M47H01.wav, sad,sad,neutral,happy,angry 
M40N26.wav, sad,sad,angry,neutral,happy 
F21N01.wav, neutral,neutral,angry,happy,sad 
M43A05.wav, happy,happy,neutral,sad,angry 
M04N66.wav, sad,sad,neutral,angry,happy 
F28A12.wav, sad,sad,angry,neutral,happy 
M04N09.wav, neutral,neutral,sad,angry,happy 
M36S01.wav, sad,sad,angry,neutral,happy 
F30S09.wav, sad,sad,angry,neutral,happy 
M04N37.wav, sad,sad,neutral,angry,happy 
F24A55.wav, happy,happy,angry,sad,neutral 
M11H07.wav, angry,angry,sad,neutral,happy 
M12N42.wav, neutral,neutral,sad,angry,happy 
F01A14.wav, neutral,neutral,angry,sad,happy 
M43H01.wav, sad,sad,happy,neutral,angry 
F24A20.wav, happy,happy,angry,sad,neutral 
M36N03.wav, neutral,neutral,sad,angry,happy 
M28A13.wav, sad,sad,neutral,happy,angry 
F29N07.wav, sad,sad,neutral,angry,happy 
M08N09.wav, sad,sad,angry,neutral,happy 
M17N03.wav, sad,sad,neutral,angry,happy 
M30A05.wav, happy,happy,sad,angry,neutral 
F07N01.wav, angry,angry,happy,neutral,sad 
F10A60.wav, sad,sad,angry,neutral,happy 
